# v3.0 | 20260301 | BIM Template formulas_with_dependencies
Discipline,Parameter_Name,Data_Type,Revit_Formula,Description,Input_Parameters,Unit,Parameter_GUID,Parameter_Description,Dependency_Level,Uses_Builtin_Geometry,Builtin_Inputs
ELECTRICAL,MNT_TYPE_TXT,TEXT,"ASS_CAT_TXT + "" - "" + ASS_TAG_1_TXT",Tag concatenation: ASS_CAT_TXT + ASS_TAG_1_TXT,"ASS_CAT_TXT, ASS_TAG_1_TXT",,9358b203-900a-52c5-9e80-3a4d67dc5c51,Ltg Mnt Type Txt [ISO 19650-1:2018],0,False,
FIRE,FLS_ALARM_CIRCUIT_COUNT_NR,NUMBER,"if(ASS_ROOM_AREA_SQ_M <= 500, 1, if(ASS_ROOM_AREA_SQ_M <= 2000, 2, 4))",Detection circuits by room area (BS 5839-1),ASS_ROOM_AREA_SQ_M,nr,6959bec4-be0e-5120-a4d4-3e7720195b55,Fls Alarm Circuit Count Nr [ISO 19650-1:2018],0,False,
FIRE,FLS_DETECTOR_COUNT_NR,NUMBER,ASS_ROOM_AREA_SQ_M / 36,Smoke detector count (1 per 36m² — BS 5839-1),ASS_ROOM_AREA_SQ_M,nr,bc024757-f274-5834-a34e-1175dc263198,Fls Detector Count Nr [ISO 19650-1:2018],0,False,
FIRE,FLS_DEV_TAG_01_TXT,TEXT,"FLS_SFTY_DEV_TYPE_TXT + ""-"" + FLS_SFTY_DEV_ZONE_TXT + ""-"" + ASS_ID_TXT",Tag concatenation: FLS_SFTY_DEV_TYPE_TXT + FLS_SFTY_DEV_ZONE_TXT + ASS_ID_TXT,"FLS_SFTY_DEV_TYPE_TXT, FLS_SFTY_DEV_ZONE_TXT, ASS_ID_TXT",,c611d904-3f4f-45c6-81e6-11f3cc64759d,Fls Sfty Dev tag,0,False,
FIRE,FLS_EXIT_TRAVEL_DIST_M,LENGTH,ASS_ROOM_AREA_SQ_M ^ 0.5 * 1.5,Estimated travel distance (room diagonal × 1.5),ASS_ROOM_AREA_SQ_M,m,b1db5751-dff6-5407-8243-246f754efd35,Fls Exit Travel Dist M [ISO 19650-1:2018],0,False,
FIRE,FLS_PROT_CORROSION_PROT_LVL_NR,NUMBER,"if(RGL_ACCESS_CLEAR_WIDTH_MM <= 0, 1, if(FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN <= 30, 1, if(FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN <= 60, 2, 3)))",Corrosion protection level (1=low/2=med/3=high),FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN,—,cd8edcd1-b76e-5f87-8528-1f9522dfcd59,Fls Prot Corrosion Prot Lvl Nr [ISO 19650-1:2018],0,False,
FIRE,FLS_PROT_FLS_RESISTANCE_MINUTES_CALC,NUMBER,"if(FLS_PROT_WALL_THICKNESS_MM >= 200, 120, if(FLS_PROT_WALL_THICKNESS_MM >= 140, 90, if(FLS_PROT_WALL_THICKNESS_MM >= 100, 60, 30)))",Fire resistance based on masonry wall thickness (BS EN 1996-1-2),FLS_PROT_WALL_THICKNESS_MM,min,1017f0fe-68c8-5d96-9e48-866fb330144d,Fls Prot Fls Resistance Minutes Calc [ISO 19650-1:2018],0,False,
FIRE,FLS_SFTY_COVERAGE_AREA_SQ_M,AREA,"if(FLS_PROT_SPRINKLER_HED_TYPE_TXT = ""Standard Response"", 12, if(FLS_PROT_SPRINKLER_HED_TYPE_TXT = ""Quick Response"", 9, 9))",Sprinkler coverage area per head (NFPA 13),FLS_PROT_SPRINKLER_HED_TYPE_TXT,m²,60aa2cba-922e-544e-a8c6-3e7ac9d73029,Fls Sfty Coverage Area Sq M [ISO 19650-1:2018],0,False,
FIRE,FLS_SFTY_FLW_RATE_LPM_NR,NUMBER,10 * FLS_SFTY_K_FACTOR_NR * (PLM_PSR_KPA ^ 0.5),Sprinkler flow Q = 10 × K × √P,"FLS_SFTY_K_FACTOR_NR, PLM_PSR_KPA",L/min,d03b0afc-854c-518a-8d8e-bba3db2b2151,Fls Sfty Flw Rate Lpm Nr [ISO 19650-1:2018],0,False,
FIRE,FLS_SFTY_OCCUPANT_LOAD_NR,NUMBER,ASS_ROOM_AREA_SQ_M / FLS_SFTY_OCC_FACTOR_M2_NR,Occupant load: N = floor area / occupancy factor,"ASS_ROOM_AREA_SQ_M, FLS_SFTY_OCC_FACTOR_M2_NR",persons,53e853d8-553f-5537-a191-28f4aa605103,Fls Sfty Occupant Load Nr [ISO 19650-1:2018],0,False,
FIRE,FLS_SFTY_TRAVEL_DIST_CHECK_BOOL,YESNO,"if(FLS_SFTY_TRAVEL_DIST_M <= FLS_SFTY_MAX_TRAVEL_DIST_M, 1, 0)",Pass/fail check: actual travel distance ≤ maximum allowed,"FLS_SFTY_TRAVEL_DIST_M, FLS_SFTY_MAX_TRAVEL_DIST_M",bool,8b4f73a7-e930-53f7-a77b-b5c8bad8f2ed,Fls Sfty Travel Dist Check Bool [ISO 19650-1:2018],0,False,
HVAC,HVC_CAP_KW,ELECTRICAL_POWER,ASS_ROOM_AREA_SQ_M * 0.1,Cooling capacity (100W/m² rule of thumb),ASS_ROOM_AREA_SQ_M,kW,9990d504-d0ac-5537-80cd-a4eb66746e51,Hvc Cap Kw [ISO 19650-1:2018],0,False,
HVAC,HVC_DCT_TAG_01_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_TAG_1_TXT",Tag concatenation: ASS_ID_TXT + ASS_TAG_1_TXT,"ASS_ID_TXT, ASS_TAG_1_TXT",,9751957e-f2c7-4f9a-8f3a-dd432af861f5,Hvc Dct tag 1,0,False,
HVAC,HVC_DCT_TAG_02_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_LOC_TXT",Tag concatenation: ASS_ID_TXT + ASS_LOC_TXT,"ASS_ID_TXT, ASS_LOC_TXT",,0a3ab853-91c0-4e01-9c93-68c7fb333a85,Hvc Dct tag 2,0,False,
HVAC,HVC_DCT_TAG_03_TXT,TEXT,"ASS_TAG_1_TXT + ""-"" + ASS_LOC_TXT",Tag concatenation: ASS_TAG_1_TXT + ASS_LOC_TXT,"ASS_TAG_1_TXT, ASS_LOC_TXT",,7ed52b35-4486-428d-b7ee-8f01c0140763,Hvc Dct tag 3,0,False,
HVAC,HVC_DUCT_AREA_SQ_M,AREA,(Width + Height) * 2 * Length / 1000000,Rectangular duct surface area,"Width, Height, Length",m²,4ca049cb-8e14-5c8d-bc00-7b5a3c3e9dbb,Hvc Duct Area Sq M [ISO 19650-1:2018],0,True,"Width, Height, Length"
HVAC,HVC_EQP_TAG_01_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_TAG_1_TXT",Tag concatenation: ASS_ID_TXT + ASS_TAG_1_TXT,"ASS_ID_TXT, ASS_TAG_1_TXT",,62f66802-8bd6-4861-aad0-f23e5b1905d2,HVC_EQP_TAG,0,False,
HVAC,HVC_EQP_TAG_02_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_LOC_TXT",Tag concatenation: ASS_ID_TXT + ASS_LOC_TXT,"ASS_ID_TXT, ASS_LOC_TXT",,c3974615-09ac-46ee-8c69-589df04a35c0,HVC_EQP_TAG 2,0,False,
HVAC,HVC_EQP_TAG_03_TXT,TEXT,"ASS_TAG_1_TXT + ""-"" + ASS_LOC_TXT",Tag concatenation: ASS_TAG_1_TXT + ASS_LOC_TXT,"ASS_TAG_1_TXT, ASS_LOC_TXT",,59605dc9-0029-4704-8dff-cf3bd25b749d,HVC_EQP_TAG 3,0,False,
HVAC,HVC_PIPE_FLOWRATE_LPS,VOLUME,3.14159 * (Diameter / 2000) ^ 2 * HVC_VEL_MPS * 1000,Pipe flow Q = π×r²×V×1000,"Diameter, HVC_VEL_MPS",L/s,3a9eccc0-aa9a-5602-a509-9bc01ccc771d,Hvc Pipe Flowrate Lps [ISO 19650-1:2018],0,True,Diameter
HVAC,HVC_PIPE_LENGTH_M,LENGTH,Length,Pipe length direct from Revit element geometry,Length,m,30b3a7c7-b758-5d72-addb-823d8452a63d,Hvc Pipe Length M [ISO 19650-1:2018],0,True,Length
HVAC,HVC_PIPE_PRESSURE_KPA,PRESSURE,HVC_HED_M * 9.81,Pressure P = ρ×g×H,HVC_HED_M,kPa,0772a943-2ff5-5106-b7ac-ec8a48da7e9f,Hvc Pipe Pressure Kpa [ISO 19650-1:2018],0,False,
MULTI,ASS_FUNC_TXT,TEXT,"ASS_CAT_TXT + "" - "" + ASS_DESCRIPTION_TXT",Tag concatenation: ASS_CAT_TXT + ASS_DESCRIPTION_TXT,"ASS_CAT_TXT, ASS_DESCRIPTION_TXT",,1ddff9a8-6e66-4a93-88fe-f3b94fbd5710,Spare parameter 1 for ASS_MNG group,0,False,
MULTI,ASS_INST_DETAIL_NUM_TXT,TEXT,"ASS_ID_TXT + ""/"" + ASS_TAG_1_TXT",Tag concatenation: ASS_ID_TXT + ASS_TAG_1_TXT,"ASS_ID_TXT, ASS_TAG_1_TXT",,73f74429-76da-4ae8-ae90-66884bad8a06,Inst Detail Txt [ISO 19650-1:2018],0,False,
MULTI,ASS_SEQ_NUM_TXT,TEXT,"ASS_TAG_1_TXT + ""-"" + ASS_ID_TXT",Tag concatenation: ASS_TAG_1_TXT + ASS_ID_TXT,"ASS_TAG_1_TXT, ASS_ID_TXT",,bbe1cd55-247b-48bd-94ba-a08031f06d5b,Spare parameter 2 for ASS_MNG group,0,False,
MULTI,ASS_TAG_4_TXT,TEXT,"ASS_CAT_TXT + "" - "" + ASS_LOC_TXT",Tag concatenation: ASS_CAT_TXT + ASS_LOC_TXT,"ASS_CAT_TXT, ASS_LOC_TXT",,9432c6e4-8912-4a0b-bf04-2ee1cf3afadf,Ass Tag 3 Txt [ISO 19650-3:2020],0,False,
MULTI,ASS_TAG_5_TXT,TEXT,"ASS_CAT_TXT + "" - "" + ASS_ID_TXT",Tag concatenation: ASS_CAT_TXT + ASS_ID_TXT,"ASS_CAT_TXT, ASS_ID_TXT",,c875d795-d764-4a8b-826a-2677635b15b9,Ass Tag 3 Txt [ISO 19650-3:2020],0,False,
MULTI,ASS_TAG_6_TXT,TEXT,"ASS_TAG_1_TXT + "" - "" + ASS_LOC_TXT",Tag concatenation: ASS_TAG_1_TXT + ASS_LOC_TXT,"ASS_TAG_1_TXT, ASS_LOC_TXT",,6fcfc27b-a42d-4f54-92ad-66c875f9be38,Ass Tag 3 Txt [ISO 19650-3:2020],0,False,
PLUMBING,PLM_ACC_CONNECTION_SZ_NR,NUMBER,PLM_PPE_SZ_MM,Access fitting connection size = pipe size,PLM_PPE_SZ_MM,mm,75ca3206-aa70-5fe0-85b3-90cd4bf3d798,Plm Acc Connection Sz Nr [ISO 19650-1:2018],0,False,
PLUMBING,PLM_DRN_TRAP_SEAL_DEPTH_MM,LENGTH,"if(PLM_PPE_SZ_MM <= 50, 75, if(PLM_PPE_SZ_MM <= 100, 75, 50))",Min trap seal depth by pipe size (per BS EN 1253),PLM_PPE_SZ_MM,mm,add75d6c-27c4-5e54-91bc-171b6944de27,Plm Drn Trap Seal Depth Mm [ISO 19650-1:2018],0,False,
PLUMBING,PLM_DRN_VEL_MPS,TEXT,(1 / 0.013) * (PLM_PPE_SZ_MM / 4000) ^ 0.667 * (PLM_DRN_PPE_SLOPE_PCT / 100) ^ 0.5,Manning equation for drainage velocity,"PLM_PPE_SZ_MM, PLM_DRN_PPE_SLOPE_PCT",m/s,f187bab9-9d0e-5fa5-bd02-2b501d41e049,Plm Drn Vel Mps [ISO 19650-1:2018],0,False,
PLUMBING,PLM_EQP_TAG_01_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_TAG_1_TXT",Tag concatenation: ASS_ID_TXT + ASS_TAG_1_TXT,"ASS_ID_TXT, ASS_TAG_1_TXT",,e4f6bae0-bc3b-42f3-a3c9-ef31a23a80d0,Plm eqp tag,0,False,
PLUMBING,PLM_EQP_TAG_02_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_LOC_TXT",Tag concatenation: ASS_ID_TXT + ASS_LOC_TXT,"ASS_ID_TXT, ASS_LOC_TXT",,4a31aa91-9511-4fa4-8024-632f64b6a2ae,Plm eqp tag,0,False,
PLUMBING,PLM_FACADE_WTR_PENETRATION_RESIST_NR,NUMBER,"if(BLE_ROOF_SLOPE_DEG >= 15, 3, if(BLE_ROOF_SLOPE_DEG >= 5, 2, 1))",Water penetration resistance rating by roof slope,BLE_ROOF_SLOPE_DEG,—,26b078cf-6442-5497-84d5-927712285cfa,Plm Facade Wtr Penetration Resist Nr [ISO 19650-1:2018],0,False,
PLUMBING,PLM_HED_M,LENGTH,PLM_PSR_KPA / 9.81,Head H = P / (ρg),PLM_PSR_KPA,m,9048b4fd-9159-5fac-af3b-14004621818c,Plm Hed M [ISO 19650-1:2018],0,False,
PLUMBING,PLM_HOTWTR_HEATER_EFF_PCT,NUMBER,PLM_HOTWTR_INPUT_PWR_KW * 0.85 * 100 / (PLM_HOTWTR_INPUT_PWR_KW),Heater efficiency (assume 85% typical),PLM_HOTWTR_INPUT_PWR_KW,%,2e556f0b-10ff-54e9-ab08-1c33f13b87ca,Plm Hotwtr Heater Eff Pct [ISO 19650-1:2018],0,False,
PLUMBING,PLM_HOTWTR_STORAGE_CAP_GAL_NR,NUMBER,PLM_CAP_CU_M * 264.172,Hot water capacity conversion m³ → gallons,PLM_CAP_CU_M,gal,6a4fd2df-a978-5dc5-8ef1-5f79364c525a,Plm Hotwtr Storage Cap Gal Nr [ISO 19650-1:2018],0,False,
PLUMBING,PLM_INS_THICKNESS_MM,LENGTH,"if(PLM_PPE_SZ_MM <= 25, 25, if(PLM_PPE_SZ_MM <= 50, 32, if(PLM_PPE_SZ_MM <= 100, 38, 50)))",Insulation thickness by pipe size (CIBSE Guide C),PLM_PPE_SZ_MM,mm,9c6b98e7-b9a7-53f2-91e7-da6592a7990f,Plm Ins Thickness Mm [ISO 19650-1:2018],0,False,
PLUMBING,PLM_PPE_FLW_LPS,VOLUME,3.14159 * (PLM_PPE_SZ_MM / 2000) ^ 2 * PLM_VEL_MPS * 1000,Pipe flow Q = π×r²×V×1000,"PLM_PPE_SZ_MM, PLM_VEL_MPS",L/s,800e6613-f502-52f0-9c12-14ec3e358056,Plm Ppe Flw Lps [ISO 19650-1:2018],0,False,
PLUMBING,PLM_PPE_LENGTH_M,LENGTH,Length,Pipe run length from Revit geometry,Length,m,dc5e612c-656a-5930-a87a-4a412e2cd119,Plm Ppe Length M [ISO 19650-1:2018],0,True,Length
